2025-04-25|19:30:23|Fantasy Novel Pre-orders|Amazon|-75.96
2025-04-20|11:10:45|Programming Conference Registration|CodeCon 2025|-799.00
2025-04-15|20:20:12|D&D DM Resources Bundle|Game Haven|-89.95
2025-04-10|16:20:12|Coffee Shop|Starbucks|-8.50
2025-04-07|14:10:45|Rent Payment|Parkview Apartments|-1600.00
2025-04-05|09:00:34|Monthly Salary|DevSphere Inc.|6200.00
2025-03-30|22:00:34|LARP Spring Event|Fantasy LARP Guild|-125.00
2025-03-25|19:30:23|Fantasy Art Commission|Etsy|-150.00
2025-03-20|11:10:45|Standing Desk Upgrade|Office Depot|-399.99
2025-03-15|20:20:12|D&D Campaign Setting|Game Haven|-59.95
2025-03-12|13:05:56|Cat Smart Water Fountain|Chewy.com|-79.99
2025-03-10|16:20:12|Grocery Shopping|Trader Joe's|-165.67
2025-03-07|14:10:45|Rent Payment|Parkview Apartments|-1600.00
2025-03-05|09:00:34|Monthly Salary|DevSphere Inc.|6200.00
2025-02-28|22:00:34|Book Club Annual Membership|Local Library|-55.00
2025-02-25|19:30:23|Cosplay Competition Entry|CosplayCon|-85.00
2025-02-20|11:10:45|Software Development Course|Pluralsight|-299.00
2025-02-15|20:20:12|D&D Collector's Dice Set|Game Haven|-79.95
2025-02-12|13:05:56|Cat Premium Food|Pet Smart|-59.99
2025-02-10|16:20:12|Valentine's Day Dinner|Fancy Restaurant|-165.78
2025-02-07|14:10:45|Rent Payment|Parkview Apartments|-1600.00
2025-02-05|09:00:34|Monthly Salary|DevSphere Inc.|6200.00
2025-01-30|22:00:34|LARP Winter Event|Fantasy LARP Guild|-135.00
2025-01-25|19:30:23|Fantasy Book Collection|Barnes & Noble|-125.95
2025-01-20|11:10:45|Tech Conference Super Early Bird|TechSummit 2025|-599.00
2025-01-15|20:20:12|D&D Core Rulebooks New Edition|Game Haven|-149.95
2025-01-12|13:05:56|Cat Annual Checkup|Happy Paws Vet|-245.00
2025-01-10|16:20:12|Grocery Shopping|Whole Foods|-175.43
2025-01-07|14:10:45|Rent Payment|Parkview Apartments|-1600.00
2025-01-05|09:00:34|Monthly Salary|DevSphere Inc.|6200.00
2024-10-31|19:15:45|Invoice 1005 paid|Freelance Client|3500.00
2024-10-30|22:05:34|LARP Halloween Event|Fantasy LARP Guild|-95.00
2024-10-25|19:35:23|Halloween Cosplay Materials|Craft World|-199.99
2024-10-20|11:15:45|Promotion Bonus|DevSphere Inc.|2500.00
2024-10-15|20:25:12|D&D Halloween Special Module|Game Haven|-24.95
2024-10-12|13:10:56|Cat Halloween Costume|Pet Smart|-29.99
2024-10-10|16:25:12|Tech Conference Airfare|Airline|-450.00
2024-10-07|14:15:45|Rent Payment|Parkview Apartments|-1600.00
2024-10-05|09:05:34|Monthly Salary|DevSphere Inc.|6000.00
2024-09-30|22:05:34|LARP Equipment Upgrade|Medieval Collectibles|-245.00
2024-09-25|19:35:23|Comic Convention Ticket|Comic Con|-175.00
2024-09-20|11:15:45|Mechanical Keyboard|Drop.com|-229.00
2024-09-15|20:25:12|D&D Special Edition Boxed Set|Game Haven|-199.95
2024-09-12|13:10:56|Cat GPS Collar|Chewy.com|-89.99
2024-09-10|16:25:12|Grocery Shopping|Whole Foods|-189.56
2024-09-07|14:15:45|Rent Payment|Parkview Apartments|-1600.00
